iter	RMSE
0	8.895960994
1	8.735398821
2	8.571485953
3	8.429034061
4	8.286276263
5	8.146565161
6	8.01508601
7	7.886495773
8	7.765493747
9	7.643686461
10	7.509771117
11	7.382620299
12	7.266039532
13	7.151021671
14	7.063411209
15	6.941742819
16	6.829563741
17	6.719390705
18	6.632258109
19	6.52538477
20	6.417661317
21	6.330391633
22	6.230313995
23	6.130838418
24	6.044552102
25	5.970842269
26	5.896923943
27	5.814283064
28	5.737348863
29	5.664884171
30	5.594122251
31	5.533649402
32	5.458455038
33	5.370455097
34	5.288988342
35	5.227760529
36	5.148775169
37	5.090685499
38	5.018006935
39	4.952871955
40	4.895012816
41	4.840262599
42	4.765800874
43	4.717366777
44	4.663088634
45	4.612717977
46	4.569401415
47	4.513114845
48	4.481473911
49	4.433198674
50	4.385373251
51	4.342743932
52	4.296949358
53	4.243001754
54	4.191734488
55	4.149956832
56	4.098736571
57	4.067502062
58	4.025442347
59	3.984824097
60	3.946298043
61	3.912585547
62	3.877219346
63	3.84259323
64	3.810528856
65	3.7672325
66	3.739643782
67	3.715891228
68	3.685372714
69	3.652530153
70	3.620626397
71	3.596049242
72	3.561805597
73	3.51993184
74	3.495735363
75	3.46833244
76	3.435246839
77	3.415858895
78	3.38417221
79	3.360587242
80	3.338716213
81	3.311174532
82	3.284738377
83	3.25939351
84	3.234349092
85	3.210218693
86	3.18650206
87	3.162406245
88	3.140278649
89	3.119974421
90	3.096765975
91	3.080129897
92	3.063785429
93	3.043792786
94	3.021654016
95	3.007806118
96	2.990456583
97	2.971709391
98	2.956724085
99	2.938406047
100	2.927729111
101	2.910465971
102	2.900219562
103	2.881816021
104	2.858539641
105	2.842061585
106	2.829784525
107	2.814219424
108	2.800509541
109	2.784820497
110	2.770540486
111	2.755340266
112	2.74048887
113	2.727512661
114	2.714254887
115	2.700682705
116	2.68383256
117	2.675826466
118	2.657843914
119	2.650210473
120	2.638385952
121	2.628044965
122	2.614081099
123	2.598164159
124	2.587698002
125	2.578177464
126	2.567617979
127	2.555809558
128	2.548402169
129	2.539964609
130	2.531300054
131	2.523566963
132	2.517988972
133	2.507323833
134	2.500957329
135	2.491237035
136	2.480864714
137	2.4727399
138	2.461508064
139	2.452544313
140	2.445844167
141	2.439020176
142	2.432109163
143	2.421271841
144	2.412580382
145	2.40217898
146	2.392120626
147	2.383896839
148	2.372888001
149	2.361697111
150	2.354959402
151	2.348701209
152	2.338886853
153	2.328621507
154	2.322301451
155	2.316592181
156	2.308759956
157	2.299023571
158	2.292150954
159	2.286000174
160	2.278261865
161	2.270397422
162	2.265117983
163	2.258605146
164	2.253787167
165	2.246321541
166	2.240804543
167	2.23291447
168	2.226219814
169	2.21876891
170	2.213570671
171	2.20721233
172	2.196567369
173	2.190460682
174	2.185926417
175	2.180247062
176	2.170833136
177	2.166150225
178	2.160204259
179	2.15330015
180	2.14468792
181	2.140473988
182	2.131453754
183	2.126026751
184	2.119591314
185	2.112728844
186	2.107013555
187	2.100262012
188	2.094848027
189	2.090608098
190	2.08371367
191	2.077106539
192	2.073534866
193	2.06682333
194	2.061544018
195	2.05836846
196	2.055285106
197	2.04857154
198	2.040986618
199	2.035601716
200	2.029579026
