iter	Passed	Remaining
0	5	5838
1	10	5286
2	16	5634
3	22	5572
4	26	5327
5	34	5698
6	40	5709
7	47	5921
8	51	5686
9	55	5453
10	59	5382
11	83	6848
12	87	6640
13	111	7836
14	115	7593
15	119	7360
16	130	7541
17	136	7462
18	142	7339
19	146	7188
20	158	7370
21	179	7963
22	188	8028
23	193	7867
24	198	7745
25	203	7639
26	208	7517
27	211	7357
28	218	7302
29	222	7184
30	226	7064
31	231	6996
32	237	6955
33	242	6881
34	248	6860
35	252	6756
36	255	6653
37	259	6572
38	267	6593
39	274	6586
40	280	6571
41	285	6517
42	290	6454
43	293	6375
44	302	6411
45	307	6383
46	313	6349
47	319	6330
48	323	6275
49	328	6247
50	332	6190
51	337	6146
52	343	6144
53	348	6097
54	351	6035
55	354	5974
56	358	5930
57	364	5927
58	369	5900
59	376	5901
60	380	5862
61	384	5820
62	388	5772
63	394	5770
64	412	5930
65	416	5891
66	421	5863
67	427	5862
68	432	5832
69	436	5795
70	442	5784
71	445	5747
72	449	5705
73	452	5662
74	458	5658
75	463	5639
76	467	5608
77	475	5617
78	479	5585
79	482	5549
80	489	5552
81	493	5525
82	500	5528
83	506	5526
84	511	5506
85	515	5479
86	519	5452
87	525	5450
88	531	5435
89	538	5442
90	542	5420
91	548	5411
92	554	5407
93	558	5383
94	563	5365
95	569	5358
96	574	5349
97	578	5327
98	584	5323
99	590	5310
100	593	5283
101	596	5253
102	600	5232
103	604	5204
104	607	5175
105	610	5149
106	613	5122
107	619	5115
108	623	5097
109	626	5070
110	629	5043
111	633	5024
112	637	5000
113	640	4979
114	644	4956
115	649	4952
116	654	4938
117	659	4927
118	663	4915
119	667	4898
120	671	4874
121	674	4851
122	677	4828
123	682	4823
124	686	4807
125	690	4787
126	693	4765
127	697	4754
128	701	4734
129	704	4712
130	707	4691
131	711	4677
132	716	4669
133	721	4665
134	726	4657
135	730	4642
136	733	4622
137	736	4602
138	739	4583
139	745	4577
140	749	4566
141	753	4550
142	756	4531
143	760	4519
144	763	4504
145	767	4486
146	769	4468
147	772	4449
148	778	4444
149	782	4434
150	786	4419
151	789	4402
152	793	4391
153	796	4376
154	799	4359
155	802	4342
156	805	4325
157	811	4323
158	815	4312
159	819	4300
160	822	4284
161	827	4279
162	831	4269
163	835	4256
164	840	4253
165	844	4243
166	849	4239
167	855	4236
168	859	4225
169	862	4211
170	865	4197
171	869	4183
172	875	4186
173	882	4187
174	889	4193
175	893	4183
176	897	4172
177	902	4165
178	907	4161
179	911	4152
180	915	4141
181	920	4135
182	923	4124
183	926	4110
184	929	4096
185	932	4082
186	938	4080
187	943	4073
188	946	4060
189	949	4046
190	953	4039
191	956	4027
192	959	4013
193	963	4001
194	966	3987
195	971	3983
196	975	3976
197	978	3963
198	981	3951
199	986	3944
200	989	3932
201	992	3920
202	995	3907
203	998	3895
204	1003	3892
205	1007	3884
206	1010	3872
207	1013	3860
208	1018	3853
209	1021	3842
210	1024	3830
211	1027	3819
212	1031	3810
213	1035	3804
214	1039	3797
215	1043	3786
216	1046	3776
217	1050	3768
218	1053	3757
219	1056	3746
220	1059	3735
221	1063	3728
222	1068	3721
223	1072	3714
224	1075	3703
225	1079	3695
226	1082	3687
227	1085	3677
228	1088	3666
229	1091	3655
230	1096	3649
231	1101	3647
232	1105	3638
233	1108	3627
234	1112	3621
235	1116	3613
236	1119	3603
237	1123	3596
238	1128	3592
239	1132	3587
240	1137	3583
241	1142	3577
242	1146	3570
243	1149	3561
244	1152	3551
245	1155	3541
246	1159	3533
247	1163	3528
248	1167	3522
249	1170	3512
250	1174	3503
251	1178	3499
252	1181	3489
253	1185	3480
254	1188	3470
255	1192	3467
256	1197	3461
257	1201	3455
258	1205	3448
259	1208	3439
260	1211	3430
261	1214	3421
262	1217	3412
263	1223	3411
264	1228	3406
265	1231	3397
266	1234	3389
267	1238	3381
268	1241	3373
269	1244	3364
270	1247	3355
271	1251	3349
272	1256	3344
273	1260	3338
274	1263	3329
275	1266	3322
276	1270	3314
277	1273	3306
278	1276	3298
279	1279	3289
280	1283	3283
281	1288	3280
282	1292	3274
283	1295	3265
284	1298	3257
285	1302	3250
286	1305	3242
287	1308	3234
288	1311	3227
289	1318	3226
290	1322	3221
291	1325	3213
292	1328	3205
293	1332	3198
294	1335	3191
295	1338	3183
296	1341	3175
297	1344	3167
298	1350	3166
299	1354	3161
300	1358	3155
301	1362	3150
302	1367	3145
303	1372	3142
304	1376	3135
305	1381	3134
306	1385	3127
307	1389	3121
308	1393	3116
309	1398	3113
310	1402	3108
311	1406	3102
312	1411	3097
313	1416	3094
314	1422	3092
315	1428	3091
316	1432	3086
317	1435	3079
